Celebrity,Age,Race,Gender,Dance Role,Notability,Category,Professional Partner,Season,Finish,Average Judge Score
Amy Purdy,24,White,Female,Follower,Paralympic Snowboarder,Olympic Athlete,Derek Hough,Season 18,2,9.34545454545455
Meryl Davis,27,White,Female,Follower,Olympic Ice Dancer,Olympic Athlete,Maksim Chmerkovskiy,Season 18,1,9.47272727272727
Lolo Jones,32,White,Female,Follower,Olympic Athlete,Olympic Athlete,Keo Motsepe,Season 19,13,5.5
Tavis Smiley,50,Black,Male,Leader,TV & Radio Host,Talk Show & News,Sharna Burgess,Season 19,12,7.125
Randy Couture,51,White,Male,Leader,Professional UFC Fighter,Fighter,Karina Smirnoff,Season 19,11,7.08333333333333
Betsey Johnson,72,White,Female,Follower,Fashion Designer,Influencer,Tony Dovolani,Season 19,10,6.625
Jonathan Bennett,33,White,Male,Leader,Actor,Acting,Allison Holker,Season 19,9,7.16666666666667
Antonio Sabàto Jr.,42,Hispanic/Latino,Male,Leader,"Actor, Model",Acting,Cheryl Burke,Season 19,8,7.15625
Michael Waltrip,51,White,Male,Leader,NASCAR Driver,Racing/Riding,Emma Slater,Season 19,7,6.47222222222222
Lea Thompson,53,White,Female,Follower,Actress,Acting,Artem Chigvintsev,Season 19,6,8.52272727272727
Tommy Chong,76,Asian,Male,Leader,"Comedian, Actor",Other Shows,Peta Murgatroyd,Season 19,5,7.23076923076923
Bethany Mota,19,Hispanic/Latino,Female,Follower,YouTube,Influencer,Derek Hough,Season 19,4,9.11666666666667
Janel Parrish,26,Asian,Female,Follower,Actress,Acting,Valentin Chmerkovskiy,Season 19,3,9.171875
Sadie Robertson,17,White,Female,Follower,Reality TV Personality,Influencer,Mark Ballas,Season 19,2,8.90625
Alfonso Ribeiro,43,Black,Male,Leader,Actor,Acting,Witney Carson,Season 19,1,9.28125
Redfoo,39,Black,Male,Leader,"Singer, Rapper",Music,Emma Slater,Season 20,12,6.625
Charlotte McKinney,21,White,Female,Follower,Model,Influencer,Keo Motsepe,Season 20,11,5.83333333333333
Michael Sam,25,Black,Male,Leader,Professional Football Player,National Athlete,Peta Murgatroyd,Season 20,10,6.75
Suzanne Somers,68,White,Female,Follower,Actress,Acting,Tony Dovolani,Season 20,9,6.7
Patti LaBelle,69,Black,Female,Follower,Singer,Music,Artem Chigvintsev,Season 20,8,7.14285714285714
Willow Shields,14,White,Female,Follower,Actress,Acting,Mark Ballas,Season 20,7,8.5625
Robert Herjavec,52,White,Female,Follower,"TV Host, Entrepreneur",Businesspeople,Kym Johnson,Season 20,6,7.575
Chris Soules,33,White,Male,Leader,Reality TV Personality,Influencer,Witney Carson,Season 20,5,7.35
Nastia Liukin,25,White,Female,Follower,Olympic Gymnast,Olympic Athlete,Derek Hough,Season 20,4,9.19148936170213
Noah Galloway,33,White,Male,Leader,Army Veteran,Public Server,Sharna Burgess,Season 20,3,8.23728813559322
Riker Lynch,23,White,Male,Leader,"Musician, Singer",Music,Allison Holker,Season 20,2,9.32203389830508
Rumer Willis,26,White,Female,Follower,Actress,Acting,Valentin Chmerkovskiy,Season 20,1,9.28813559322034
Chaka Khan,62,Black,Female,Follower,Singer,Music,Keo Motsepe,Season 21,13,4.66666666666667
Victor Espinoza,43,Hispanic/Latino,Male,Leader,Jockey,Racing/Riding,Karina Smirnoff,Season 21,12,5.77777777777778
Kim Zolciak-Biermann,37,White,Female,Follower,Reality TV Personality,Influencer,Tony Dovolani,Season 21,WD,5.44444444444444
Gary Busey,71,White,Male,Leader,Actor,Acting,Anna Trebunskaya,Season 21,10,5.5625
Paula Deen,67,White,Female,Follower,Chef,Other Shows,Louis van Amstel,Season 21,9,5.83333333333333
Hayes Grier,15,White,Male,Leader,Vine Star,Influencer,Emma Slater,Season 21,8,8.03333333333333
Andy Grammer,32,White,Male,Leader,Singer-songwriter,Music,Allison Holker,Season 21,7,8.27272727272727
Alexa PenaVega,27,Hispanic/Latino,Female,Follower,Actress,Acting,Mark Ballas,Season 21,6,8.64102564102564
Tamar Braxton,38,Black,Female,Follower,"TV Host, Reality TV Personality",Talk Show & News,Valentin Chmerkovskiy,Season 21,WD,8.51282051282051
Carlos PenaVega,26,Hispanic/Latino,Male,Leader,"Singer, Actor","Music, Acting",Witney Carson,Season 21,4,8.96078431372549
Alek Skarlatos,23,White,Male,Leader,Veteran,Public Server,Lindsay Arnold,Season 21,3,8.33333333333333
Nick Carter,35,White,Male,Leader,Singer,Music,Sharna Burgess,Season 21,2,9.11111111111111
Bindi Irwin,17,White,Female,Follower,Wildlife Conservationist,Other Shows,Derek Hough,Season 21,1,9.35185185185185
Geraldo Rivera,72,Hispanic/Latino,Male,Leader,"Journalist, TV Host, Broadcaster",Talk Show & News,Edyta Śliwińska,Season 22,12,4.33333333333333
Mischa Barton,30,White,Female,Follower,Actress,Acting,Artem Chigvintsev,Season 22,11,5.44444444444444
